Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 1.3592 sec
Cores: 8, Threads: 8, Image: 896x768.png, Time: 6.0750 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 3.8284 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6462 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6509 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6494 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6467 sec
Cores: 8, Threads: 8, Image: 896x768.png, Time: 8.3437 sec
Cores: 4, Threads: 4, Image: 896x768.png, Time: 4.3856 sec

Cores: 8, Threads: 8, Image: 896x768.png, Time: 6.2461 sec
Cores: 4, Threads: 4, Image: 896x768.png, Time: 6.1801 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.7514 sec
Cores: 4, Threads: 4, Image: 896x768.png, Time: 4.3604 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 3.5075 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9689 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.8801 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 4.0601 sec
Cores: 8, Threads: 8, Image: 896x768.png, Time: 8.1622 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.8313 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.3634 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.4100 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.5903 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6140 sec

Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 4.3430 sec
Cores: 4, Threads: 4, Image: 896x768.png, Time: 4.3518 sec
Cores: 8, Threads: 8, Image: 896x768.png, Time: 6.1689 sec
Cores: 4, Threads: 4, Image: 896x768.png, Time: 4.3837 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 4.0028 sec

Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9614 sec

Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9131 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 3.9403 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.8787 sec

Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 3.9013 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 3.3617 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 4.5166 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6522 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.5646 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.4229 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6402 sec
Cores: 1, Threads: 1, Image: 896x768.png, Time: 2.6398 sec
Cores: 4, Threads: 4, Image: 896x768.png, Time: 4.3911 sec
